zoom level, x axis spacing, y axis spacing, time in seconds, number on samples
1,0.5,205346,470.20051193237305
2,0.25,102674,1072.4451780319214
3,0.13,51336,2800.050660133362
1,1.0,205346,258.2438690662384
2,0.5,102674,548.8012490272522
3,0.26,51336,1509.0634348392487
1,1.0,102673,508.70128774642944
2,0.5,51337,1103.6034491062164
3,0.26,25668,2863.3376042842865
1,0.25,102673,1788.8321471214294
2,0.125,51337,4373.389511823654
3,0.065,25668,11613.833460092545
1,0.5,51336.5,1932.7918150424957
2,0.25,25668.5,4586.0648992061615
3,0.13,12834.0,11627.362850189209
1,0.25,51336.5,3735.5527999401093
2,0.125,25668.5,9356.286607265472
3,0.065,12834.0,23715.615792036057
1,0.75,102673,587.3708262443542
2,0.375,51337,1436.230093717575
3,0.195,25668,3867.3712968826294
1,0.5,154009.5,630.9109590053558
2,0.25,77005.5,1567.097461938858
3,0.13,38502.0,3848.1033499240875
1,0.75,154009.5,392.1916811466217
2,0.375,77005.5,958.2124490737915
3,0.195,38502.0,2601.101938009262
1,0.75,205346,293.46732997894287
2,0.375,102674,714.5598201751709
3,0.195,51336,1968.7049582004547
1,1.0,154009.5,351.4208357334137
2,0.5,77005.5,783.5929918289185
3,0.26,38502.0,1980.3953578472137
1,0.5,102673,926.1606149673462
2,0.25,51337,2131.3444039821625
3,0.13,25668,5539.155945062637
