zoom level, x axis spacing, y axis spacing, time in seconds, number on samples
1,1.0,102673,459.9362061023712
2,0.5,51337,1203.1260077953339
3,0.26,25668,3133.782403945923
1,0.25,102673,1552.6033890247345
2,0.125,51337,4690.997476816177
3,0.065,25668,12290.223711013794
1,0.5,51336.5,1691.8064138889313
2,0.25,25668.5,4896.396721124649
3,0.13,12834.0,12349.720069169998
1,0.25,51336.5,3268.444967031479
2,0.125,25668.5,10065.165346860886
3,0.065,12834.0,24864.521226882935
1,0.75,102673,511.5515511035919
2,0.375,51337,1548.3463218212128
3,0.195,25668,4113.719614982605
1,0.5,154009.5,549.8426442146301
2,0.25,77005.5,1505.1384687423706
3,0.13,38502.0,3907.9733877182007
1,0.75,154009.5,332.4436752796173
2,0.375,77005.5,994.5293362140656
3,0.195,38502.0,2625.2075049877167
1,0.75,205346,249.96934485435486
2,0.375,102674,746.368479013443
3,0.195,51336,1969.8422226905823
1,1.0,154009.5,295.21824288368225
2,0.5,77005.5,779.381450176239
3,0.26,38502.0,2016.3655860424042
1,0.5,102673,807.0585069656372
2,0.25,51337,2288.4257929325104
3,0.13,25668,5890.465837955475
1,0.5,205346,399.6302320957184
2,0.25,102674,1127.4922668933868
3,0.13,51336,2928.574764728546
1,1.0,205346,221.5967710018158
2,0.5,102674,583.2707016468048
3,0.26,51336,1513.141815662384
