year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
1939,"Biography, Crime, Drama",106,USA,7,3691,3444,28
2007,"Horror, Thriller",107,USA,4.5,1914,3490,21
2012,"Comedy, Drama, Romance",55,Netherlands,6.1,1022,3533,24
2014,"Crime, Drama, Thriller",112,UK,6.1,2612,3586,69
2009,"Drama, Thriller",89,UK,3.7,115,3587,10
2016,"Comedy, Drama",93,"UK, Ireland",6.8,147,3616,27
1989,"Action, Comedy, Drama",106,USA,6.1,518,3686,1
2017,"Crime, Drama",86,France,4.7,280,3700,6
2000,"Comedy, Drama",73,Poland,7.1,875,3733,14
2015,"Drama, History",90,Turkey,6.9,164,3767,3
2018,"Adventure, Drama, Sci-Fi",98,USA,5.6,7226,3822,109
2018,"Horror, Mystery, Sci-Fi",91,UK,4.7,5718,3823,53
2015,Drama,88,Turkey,4.3,104,3891,1
1998,"Crime, Thriller",114,"Sweden, Norway, Finland",6.2,1189,3899,5
1964,Drama,125,USA,7.6,10068,3942,27
2002,Comedy,95,Argentina,7,110,3999,
1985,"Comedy, Drama",94,Italy,7.3,1424,4001,4
2010,"Drama, Thriller",83,Australia,6.2,143,4036,7
2008,"Action, Crime, Mystery",79,UK,5.1,562,4072,7
2002,"Crime, Drama, Mystery",90,"France, Canada",6.2,171,4103,4
2018,"Mystery, Romance, Thriller",74,"Mexico, UK",5.5,126,4119,13
2010,"Crime, Horror, Thriller",75,USA,5,207,4171,20
2006,"Drama, Music, Romance",95,Israel,7,251,4197,12
2019,"Fantasy, Horror, Sci-Fi",149,India,7,1428,4199,8
1921,Drama,107,Norway,6.6,184,4272,3
2018,Horror,90,USA,5.2,3340,4286,33
2016,"Comedy, Drama, Romance",93,Argentina,5.9,305,4314,4
2013,"Comedy, Mystery, Thriller",108,Spain,6.2,259,4386,5
2013,"Comedy, Drama, Family",78,"Turkey, France",6.2,255,4410,4
2015,Drama,89,UK,5.9,245,4449,24
2015,"Drama, Mystery, Romance",101,USA,5.5,9795,4505,74
2009,Comedy,90,UK,4.5,111,4507,11
2012,"Horror, Thriller",97,Mexico,5.6,3687,4534,111
2013,"Comedy, Music, Romance",108,USA,6.8,396,4586,17
