year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2002,"Action, Comedy, Crime",101,USA,6.4,4632,167572,23
2014,Thriller,95,UK,5.8,2699,168588,21
2017,"Crime, Thriller, Western",90,USA,4.1,441,168738,1
2010,Drama,105,Turkey,5.3,987,169693,
2004,"Horror, Thriller",104,Spain,6,214,169993,5
2013,"Comedy, Drama",121,India,5.4,4703,170764,9
2014,Drama,110,Canada,6.6,3654,171505,25
2014,"Crime, Drama, Thriller",94,France,5.4,228,171522,3
2018,"Horror, Mystery, Thriller",110,Brazil,6.1,797,172220,27
2017,Drama,82,"Finland, Sweden",5.7,237,173164,2
2007,"Comedy, Thriller",110,Spain,6.3,174,173694,
2007,"Drama, Romance",92,Austria,5.5,140,173914,13
2008,Drama,93,Denmark,6.2,154,174882,1
2017,"Comedy, Family",128,India,5.2,165,175241,
1992,"Crime, Drama",94,Australia,6.8,35939,175340,43
2012,"Comedy, Romance",86,Taiwan,6.3,307,176260,8
2016,"Action, Crime, Thriller",107,USA,6.3,5327,176777,21
2016,Drama,105,"Portugal, Germany",6.7,662,177388,38
2001,"Action, Drama",107,Hong Kong,5.9,128,178123,4
2005,Drama,88,"Argentina, Brazil, Spain",6.5,270,179121,7
2019,Comedy,133,India,7.9,2516,179573,11
2012,Drama,124,"Turkey, France, Germany",6.2,1432,180179,28
2016,"Drama, Thriller",136,India,8.2,33956,180180,29
2018,"Adventure, Thriller",146,India,6.9,904,180315,4
2007,"Action, Drama, Romance",117,India,6.3,406,181167,6
2017,Comedy,137,India,6.7,545,181510,4
2000,"Drama, Crime, Thriller",93,"Sweden, Australia",5.9,490,181763,6
2009,"Drama, History, Thriller",129,UK,6.4,4959,182253,25
2012,"Crime, Drama, Thriller",102,UK,6.2,3240,183049,21
2004,"Horror, Thriller",84,USA,5.5,2250,183066,64
2013,"Action, Crime, Drama",101,South Africa,5.3,402,183927,24
2016,"Action, Thriller",93,USA,4.7,6993,184404,103
2006,"Comedy, Drama, Thriller",95,Australia,5.8,1360,184902,19
2017,"Comedy, Drama",101,Russia,6.5,343,186126,1
2011,"Horror, Thriller",94,Germany,5.2,2601,186276,64
2008,"Comedy, Drama",103,Israel,7.3,591,187394,4
2009,Comedy,98,Italy,6,113,187885,3
2005,"Comedy, Drama",80,"France, Cuba",6.9,972,188539,5
2011,"Comedy, Musical",180,UK,8.5,151,188816,1
2013,"Action, Crime, Drama",104,"Indonesia, USA",5.1,4545,189739,35
2010,"Horror, Thriller",84,France,5.3,1951,190157,38
2006,Comedy,107,"Spain, Portugal",6.1,138,190314,2
2012,"Horror, Thriller",104,Italy,5.3,247,190836,18
2017,Comedy,121,India,6.2,1371,191202,3
2011,"Animation, Drama",89,Spain,7.6,3555,191974,57
1989,Comedy,90,USA,3.7,255,192561,1
2008,Drama,156,Turkey,7.3,739,192914,
2012,"Animation, Action, Sci-Fi",89,"Japan, USA",5.9,10345,193425,39
2006,"Comedy, Romance",80,USA,6.1,3141,194568,31
2015,"Action, Crime, History",127,Poland,4.1,183,194591,
2011,Drama,115,Hong Kong,6.1,343,194780,21
2008,Drama,90,"France, Germany, Israel",5.8,302,195366,29
2012,"Action, Comedy, Crime",167,"India, Canada",4.4,274,196398,2
2016,"Comedy, Romance",121,Philippines,6.8,175,196884,2
2011,"Action, Drama, Music",120,South Africa,6.3,141,197407,
2011,"Comedy, Drama, Sport",101,"Canada, India",5.7,2123,198033,16
1996,"Comedy, Drama, Romance",113,France,7.6,5650,198126,54
2001,"Action, Comedy",95,Germany,5.1,246,199100,8
2009,"Action, Comedy, Crime",109,USA,4.4,13146,199436,91
1955,Drama,111,USA,7.7,77662,199963,157
2017,"Drama, Sport",113,South Africa,8,131,200440,2
1984,"Biography, Drama, Romance",106,UK,6.5,542,200498,2
2004,Comedy,104,Czech Republic,4.2,353,201819,
2009,"Adventure, Family, Fantasy",93,Denmark,5.3,242,202158,4
2005,Drama,128,USA,6.8,461,203144,3
2014,"Comedy, Crime",119,Czech Republic,6,118,203485,23
2015,Drama,101,France,5.8,759,204270,12
2019,Drama,104,"Netherlands, UK, Belgium, Ireland",6.5,685,204591,23
2019,"Drama, Sport",157,India,8.7,3991,204669,4
2019,"Drama, Sci-Fi",119,USA,6.6,4040,205036,54
2010,Drama,89,Italy,6.1,122,205338,8
2018,"Comedy, Drama, Fantasy",121,India,5.8,174,206036,
2013,Drama,91,Norway,6.4,570,207023,5
2008,"Drama, Romance",130,Indonesia,7.1,909,207595,4
2010,"Biography, Crime, Drama",90,"Germany, Austria",6.8,4165,208475,85
2008,Drama,97,Russia,5.9,122,209104,
2013,"Horror, Sci-Fi, Thriller",96,USA,4.5,472,209271,3
2014,"Crime, Drama",104,USA,6.3,10308,209613,37
2002,"Comedy, Drama, Romance",97,Denmark,6.5,1430,210565,18
2013,"Drama, Romance",96,Turkey,4.8,187,211049,3
2009,Drama,94,Norway,4.6,421,211572,1
1994,Comedy,85,Hong Kong,4,344,212285,1
2008,Drama,82,Norway,5,124,212840,1
2007,"Crime, Drama, Thriller",101,"UK, Bulgaria, Germany, USA",5.8,8938,212921,35
2004,"Biography, Drama",97,Poland,6.7,705,213505,8
2003,Drama,127,Spain,6.6,414,213614,2
2008,Drama,101,Finland,5.4,200,214051,
2014,"Crime, Drama",126,"Ukraine, Netherlands",7,9548,215034,230
2005,Drama,85,"Chile, Germany",6.2,3029,215121,28
2003,"Animation, Adventure, Comedy",93,Japan,7.8,27358,215562,89
1989,"Comedy, Drama, Musical",105,UK,5.5,691,216373,9
2016,"Drama, Mystery",91,USA,5.4,5352,217473,56
1994,"Drama, Thriller",89,UK,6.6,2975,217881,26
2018,Drama,74,Russia,7,323,219720,14
2010,"Comedy, Drama",89,Bulgaria,8.2,1436,220241,1
2017,"Drama, Sport",92,UK,7.1,3009,220353,128
2017,Drama,98,"Canada, USA",6.5,598,220948,12
1997,"Comedy, Drama",107,"Australia, USA",5.9,1667,221193,25
2011,"Action, Sci-Fi, Thriller",168,India,6.2,9157,221894,12
2015,"Animation, Family, Fantasy",72,USA,6.5,1379,222840,2
2011,"Action, Drama",155,India,4.6,469,223204,1
2012,Comedy,93,USA,5.4,9132,223580,83
2009,Comedy,110,"Poland, Romania",2.7,110,224180,
2011,Action,87,USA,3.6,4998,224236,19
2011,Comedy,103,"Italy, UK",5.8,209,224494,6
1987,"Drama, Romance",112,USA,6.1,819,225358,4
1991,"Drama, Music",105,"UK, France, Germany, Spain",6,334,225664,7
2015,"Comedy, Crime",109,Turkey,5.9,179,226112,
2015,"Drama, Mystery, Thriller",99,France,5.5,285,226708,14
2017,"Action, Comedy",146,India,5.8,1840,227747,5
2014,"Comedy, Drama, Fantasy",155,India,6.7,4488,227756,17
2005,Drama,98,"Brazil, UK",6.6,3516,228640,46
1995,"Drama, War",109,"UK, Spain, Germany, Italy, France",7.6,9589,228800,13
2018,"Action, Thriller",160,India,7.7,2981,229163,3
2012,"Action, Drama, Thriller",152,India,6.8,2878,230136,28
2019,"Drama, Mystery, Thriller",98,"Australia, USA",6.6,4546,230193,20
2000,"Drama, Romance",180,"France, Switzerland",6.7,1074,231293,35
2017,"Family, History, War",97,"Ireland, UK",6.6,700,231719,21
2009,Drama,90,Spain,6.7,263,232548,4
2009,"Drama, Romance, Thriller",96,"Argentina, France, Spain",5.9,1976,233461,33
2018,Drama,96,Italy,7,221,234474,15
2016,Comedy,98,France,6.4,870,235055,11
2008,"Comedy, Romance",90,Germany,6.6,413,235151,14
2008,"Drama, Romance",85,Turkey,4.3,269,236855,2
2009,Drama,100,"Italy, Austria",7.1,647,237435,35
2013,"Comedy, Sport",90,Australia,5.3,585,238271,1
2017,Drama,120,Bulgaria,7.7,878,239415,5
2001,Comedy,89,France,6.5,1658,240026,3
2008,"Comedy, Romance",115,Egypt,3.8,292,240391,
2019,Comedy,143,India,7.1,1168,241157,4
2017,Comedy,94,Turkey,3.6,452,241207,
2014,"Comedy, Horror, Mystery",107,New Zealand,6.8,30276,241347,186
2006,Drama,117,Spain,5.9,328,242597,
1987,"Action, Adventure, Drama",86,Norway,7.2,4624,242994,15
2017,"Comedy, Drama, Fantasy",111,Hong Kong,6.8,441,243251,6
2019,Comedy,95,Hungary,7.1,439,243818,
1997,"Biography, Drama, Music",126,"Germany, Austria",7.1,3056,244861,36
2002,"Action, Comedy",90,Poland,4.1,538,244922,
2018,Drama,96,Canada,6.8,282,245474,7
2010,"Comedy, Drama",80,South Korea,6.7,893,245903,25
2004,Drama,90,South Africa,7.6,2112,246439,11
2019,Comedy,117,India,3.8,118,247236,
2004,"Comedy, Drama, Family",83,USA,5.6,979,247327,4
2011,Action,107,China,4.4,644,248280,22
2011,"Biography, Drama",124,Germany,6.4,1117,248408,43
2002,"Crime, Drama",84,USA,7.1,1303,249204,21
2006,"Adventure, Drama, History",112,"Italy, USA, Spain",5.2,1132,249610,16
2009,Drama,90,Australia,6.7,2142,251018,38
2004,"Comedy, Romance",110,South Korea,6.3,858,251561,6
2002,"Comedy, Drama, Musical",158,India,5,2553,251877,5
2006,"Drama, Family, Western",87,USA,7,1578,252726,5
2015,Drama,95,"France, Belgium",6,269,252917,7
2002,"Drama, Thriller, Crime",95,USA,5.2,654,254293,11
2013,"Crime, Drama",98,USA,5.5,5054,255080,21
2003,"Musical, Drama",87,USA,6.3,391,255947,18
1993,"Drama, Mystery, Thriller",103,USA,6.2,3869,256264,18
2016,"Action, Comedy, Crime",96,UK,6.1,903,257095,26
2017,"Action, Thriller",94,UK,4.8,4019,257212,51
2012,Drama,95,Italy,5.7,267,258114,12
2010,"Horror, Mystery, Thriller",90,Australia,4.8,2641,259185,30
1995,"Comedy, Drama, Romance",112,UK,6,2446,259724,17
2008,"Action, Drama, History",92,Estonia,6.7,576,260220,1
2008,"Drama, Romance, Sport",107,"Australia, Japan, USA",6.1,1509,260657,16
1990,Drama,110,"Switzerland, Turkey, UK, France",7.5,1747,261718,12
2012,Drama,98,USA,7.5,5557,261747,78
2016,"Crime, Drama, Horror",95,USA,5,1032,263360,22
2009,War,86,South Korea,6.5,183,263519,9
2005,"Action, Crime, Drama",124,India,7.6,14701,264217,24
2001,"Drama, Romance",116,"Taiwan, France",7.3,4262,265477,63
2007,Drama,90,Brazil,4.9,127,265500,1
2009,"Crime, Thriller",80,USA,5.6,965,266704,9
2016,"Horror, Thriller",85,USA,4.2,1444,267190,29
2016,"Drama, History",110,"Finland, Sweden, Norway, Latvia, Germany",6,1055,267931,3
2007,"Action, Drama, Sport",121,South Korea,6.2,242,268230,5
2015,"Horror, Sci-Fi",86,USA,4.7,5014,269458,55
2016,"Crime, Drama, Mystery",102,USA,4.3,12586,269915,52
2016,"Biography, Drama, War",131,Netherlands,7.2,4979,270181,8
2009,"Horror, Mystery",94,Spain,5.3,1208,270795,43
2014,Drama,112,"Spain, Canada, France",5.3,3083,270971,57
2008,Drama,96,Lithuania,6.9,1004,272047,2
2003,"Action, Biography, Crime",111,"Canada, Germany, South Africa, UK",7.2,7882,272791,50
2018,"Comedy, Crime",98,Italy,5.8,134,273055,2
2002,"Drama, Comedy",88,Czech Republic,5.7,131,273513,
2008,"Drama, History",101,India,7.4,1797,274637,13
2013,"Horror, Mystery, Thriller",85,UK,5.4,8285,274660,150
2007,Drama,105,"Kazakhstan, Germany, France",6.7,576,274971,18
2009,"Drama, Romance",91,"Israel, Germany, France",7.3,5793,276576,86
2003,Thriller,101,France,6.1,677,277120,4
1986,"Biography, Drama, History",136,UK,7.1,5836,277646,11
2005,"Comedy, Drama, Romance",85,"Iceland, Finland, UK",5,916,278388,15
2003,"Drama, Romance",94,Germany,5.7,357,278996,9
2008,Drama,110,"Austria, France, Turkey",7.3,561,279048,19
2003,"Drama, Romance, Comedy",79,USA,6,4094,280351,27
2011,Drama,105,France,6.1,436,280477,18
1995,"Crime, Drama",98,France,8.1,135239,280859,112
2001,Drama,115,USA,6.1,997,281803,16
2009,"Comedy, Drama",92,Russia,3.2,124,281917,
2002,"Drama, Romance",96,"UK, Germany",6.6,2216,282519,39
2015,Comedy,89,Australia,6,666,283050,9
2018,"Drama, Mystery, Thriller",100,"Ireland, Sweden, USA",5.6,7675,283755,35
2014,Drama,119,"Israel, France",6.6,977,284065,43
1999,Drama,100,Italy,7.1,728,284907,24
2012,Comedy,94,UK,5.6,394,285116,33
2005,"Comedy, Romance",94,"Canada, USA",4.9,3654,285406,16
2010,Drama,94,Australia,6.6,431,286531,10
2018,Drama,106,USA,6.8,2584,287307,50
2010,"Action, Crime, Drama",98,Serbia,6.4,4410,288512,18
2016,"Horror, Mystery, Thriller",85,USA,4.8,3341,289299,46
2017,"Drama, Romance",97,Italy,6.4,103,289698,8
2001,Drama,92,"Italy, Argentina",6.6,242,290307,2
2006,"Action, Adventure, Fantasy",115,Thailand,4.1,121,291243,
2004,Comedy,100,Czech Republic,2.6,473,291307,
2011,"Action, Crime, Drama",94,USA,4.6,16101,291742,43
2015,"Drama, History",129,USA,5.1,3158,292669,81
2008,Drama,112,Sweden,6.3,1169,293276,15
2009,"Comedy, Drama, Romance",103,Germany,6.5,434,293714,10
2010,"Comedy, Drama",95,"France, Luxembourg, Belgium",5.6,509,294483,20
2001,"Comedy, Romance",97,USA,6.6,51206,295206,75
2015,"Comedy, Drama",103,France,5.4,368,295295,8
1993,"Drama, Romance",99,"UK, USA",6.2,1910,296081,9
2009,"Action, Comedy",84,USA,7.4,43766,296557,176
2003,Drama,143,India,6,476,297200,4
2017,Drama,100,UK,6.5,128,298051,3
2014,"Comedy, Drama",87,Norway,6,812,298244,23
2009,"Action, Comedy, Crime",138,India,4.6,248,299462,
2014,"Comedy, Drama, Romance",105,Portugal,5.7,489,299929,2
2011,Drama,87,Poland,6.8,397,300463,2
1996,"Comedy, Drama, Romance",97,"UK, France",7,1821,300645,29
2012,"Comedy, Family, Romance",83,"France, Luxembourg, Belgium",5.4,371,302101,5
2006,"Comedy, Drama",85,USA,6.2,1291,302845,26
2006,"Action, Adventure, Horror",95,Thailand,2.5,103,302950,3
2008,Drama,100,China,6.5,187,304419,3
2012,"Adventure, Crime, Drama",105,"Paraguay, Spain",7.1,4861,305006,58
2016,"Drama, Romance",100,Turkey,4.7,291,305969,2
2014,Drama,95,France,5.9,229,307025,14
1995,Horror,82,USA,6.4,8192,307308,74
2010,"Comedy, Drama",95,Turkey,5.1,967,307782,
2012,Drama,115,South Africa,6,118,308745,
2017,"Action, Adventure, Drama",134,India,6.5,2067,308850,4
2005,"Comedy, Drama, Music",99,USA,5.9,2883,309404,14
2016,Comedy,110,Poland,2.2,103,310297,
2009,"Crime, Drama, Thriller",101,USA,5.5,7352,311101,40
2006,"Comedy, Drama",82,France,5.2,206,311808,2
2008,Drama,100,"Italy, France, Romania",7.1,256,312976,11
1993,Drama,98,USA,7.1,2015,313967,12
2004,"Comedy, Drama",83,Ireland,7.1,2766,313973,15
2016,"Action, Thriller",102,"UK, France, Belgium, USA",6.4,10096,315132,36
2014,"Action, Thriller",144,"India, Austria",3.2,2961,315609,13
2013,Biography,90,Italy,7,573,316137,31
2009,Drama,93,Spain,6.5,154,317155,2
2011,"Action, Biography, Comedy",83,Turkey,5.6,2069,317411,1
2001,"Horror, Mystery, Sci-Fi",119,Japan,6.5,15025,318451,159
2007,Drama,84,"Spain, France",6.9,2258,319032,68
2019,"Crime, Mystery, Thriller",90,Hong Kong,5.8,105,319674,2
2019,Drama,113,,6.8,100,320035,3
2010,Drama,110,"UK, USA",7,22509,321328,113
2016,"Drama, Thriller",130,"France, Germany, Belgium",6.5,3647,321768,81
2006,"Drama, Horror, Thriller",86,USA,5.1,8257,321875,61
1993,Drama,105,"France, Germany, UK",7.1,4199,322975,24
2014,"Drama, History, War",192,UK,8.7,1391,323659,3
2017,"Action, Thriller",136,India,4.9,3935,324015,19
2009,Comedy,90,Iceland,5.7,168,325032,1
2013,"Comedy, Crime, Drama",102,Belgium,6.9,598,325532,
2000,"Drama, Romance",98,"France, Belgium",6.7,4619,326484,28
2011,"Comedy, Drama, Romance",140,India,5.9,8076,328870,30
2010,"Comedy, Drama, Romance",135,India,7.1,637,328887,
1996,"Drama, Romance",78,Canada,6.4,3401,329211,42
2018,Comedy,165,Pakistan,7.6,1234,331048,2
1985,Comedy,82,USA,5.3,7197,331816,16
2006,"Action, Drama, Mystery",116,India,4.9,3020,332491,11
2001,"Comedy, Drama, Family",100,Czech Republic,7.5,1677,333117,30
2013,"Drama, History",133,Spain,5.5,141,334271,2
1997,"Drama, War",103,"UK, USA",6.8,6630,334319,60
2018,Drama,95,USA,6.6,612,336166,43
2001,"Drama, Comedy, Romance",104,Germany,7,1207,336662,13
1989,"Crime, Drama, Thriller",95,USA,4.9,599,337812,12
1996,"Crime, Drama, Thriller",97,"USA, France",6.1,7335,339379,36
2016,Animation,71,USA,4.3,231,339486,2
2011,"Animation, Adventure, Comedy",80,"Finland, Belgium",3.9,191,340836,5
2014,Comedy,87,Italy,6.1,221,341470,8
2011,"Drama, Music",105,USA,7.5,7378,342202,55
2017,"Drama, Fantasy, Thriller",106,"Belgium, UK, USA, China",6.2,24859,342558,97
2011,"Horror, Thriller",90,Spain,3.6,1222,343709,26
2007,Horror,89,USA,5.1,8779,344039,90
2006,Drama,94,Egypt,6.8,488,344265,
2004,Drama,77,"France, Portugal",4.4,4755,345365,66
2008,Drama,105,Poland,7.1,443,345871,2
2014,Comedy,93,"Germany, Switzerland, Austria",5.8,246,346215,21
2009,Horror,77,Italy,5.4,2455,346997,45
2008,"Biography, Drama",98,USA,6.8,661,347328,5
2009,"Comedy, Drama",110,India,5.9,340,348289,2
2008,"Action, Drama, Family",104,Hong Kong,5.9,659,350329,12
2016,"Comedy, Drama",97,Italy,6.1,269,350367,4
2005,"Drama, Romance",92,"Argentina, Spain",6.8,320,351172,9
2005,Drama,96,"Tunisia, Hungary, France, Germany, Iran, Switzerland, UK",7.6,2835,353119,23
2015,"Comedy, Romance",100,France,5.8,786,353885,15
2009,"Comedy, Horror",108,"Canada, USA",3.6,11813,354331,46
2016,"Crime, Drama",115,"France, Belgium",6.5,389,355280,13
1990,"Comedy, Drama",92,"USA, Japan",6.8,411,356077,10
2018,"Drama, Thriller",117,Argentina,6.1,523,356237,31
2014,Comedy,81,France,6.8,541,358616,8
2019,"Fantasy, Horror, Musical",96,USA,6.6,1672,359377,3
2013,"Drama, Sci-Fi, Thriller",87,Australia,6.7,14886,360234,115
2016,"Drama, Romance",129,"Iceland, Denmark",7.4,3808,361878,41
2017,"Crime, Drama, Thriller",93,"Bulgaria, USA",5.4,6893,361965,30
2000,"Comedy, Drama, Romance",95,France,6.8,1689,363409,34
2013,"Comedy, Family",100,"Slovenia, Bosnia and Herzegovina",6.6,565,364855,7
2003,"Biography, Drama",109,USA,7.3,4567,365727,77
2007,"Crime, Drama",113,Egypt,6.2,930,366456,
2013,Family,74,Norway,5,112,368276,13
2005,"Comedy, Horror",87,USA,5.3,11546,368976,106
2010,"Drama, Family",94,USA,6.9,972,369129,8
1987,"Animation, Adventure, Fantasy",78,France,7.1,3904,370698,26
2016,"Crime, Drama, Mystery",101,Greece,7.8,5357,371528,3
2019,"Action, Drama, Thriller",87,"Spain, USA",5.9,942,372282,18
2017,"Romance, Thriller",160,India,6.5,1204,373271,3
2007,Horror,89,Hong Kong,4.1,193,374285,3
2014,Comedy,81,Czech Republic,5.5,110,374844,17
2014,Drama,93,Germany,7.1,1710,376702,30
2000,"Drama, Crime",130,Canada,7,472,376714,4
2015,"Comedy, Drama",83,France,5.2,215,377507,4
2001,"Action, Crime, Thriller",92,USA,3.5,6365,379739,29
2014,Thriller,107,Spain,6,309,380562,11
2005,"Crime, Drama, Thriller",96,USA,6.3,14847,381420,58
2011,"Action, Crime, Drama",135,India,5.1,1785,381911,14
2010,"Action, Drama, History",102,"Germany, UK",6.4,41710,382879,183
2014,Drama,104,France,6.3,158,382909,10
2013,"Drama, Thriller, War",99,"Israel, Germany, Belgium",7.1,1936,384670,60
2007,"Comedy, Drama",98,Mexico,7,660,384797,13
2016,"Action, Comedy, Crime",105,"Hong Kong, Malaysia",4.7,116,386261,8
2007,Drama,103,"Australia, Singapore",7.2,824,387707,27
2017,"Action, Biography, Drama",126,"Bulgaria, Croatia",6.3,713,387904,
2013,"Comedy, Drama",90,Germany,6.6,356,388853,15
2018,Comedy,92,"Brazil, Italy",6.6,336,389762,8
1985,Thriller,104,France,6.6,13177,390659,37
2006,"Action, Comedy",102,Thailand,4.7,344,391100,13
2010,Drama,96,Belgium,6.1,347,393082,3
1985,"Action, Crime, Mystery",112,UK,5.7,2711,393825,23
1997,"Biography, Drama, War",115,France,6.6,1116,394079,25
2011,"Drama, Romance",145,India,7.6,2819,395638,3
2001,"Comedy, Musical",104,"UK, France",6.7,1120,396090,20
2004,Romance,135,India,4.4,1355,396952,7
2002,"Fantasy, Horror, Mystery",90,France,6.4,3553,398016,30
2003,"Drama, Sci-Fi",108,Germany,5.5,808,399375,8
1957,"Biography, Drama, History",110,"USA, UK",6.4,1013,400000,14
2019,Drama,127,"Denmark, Sweden",7.4,2775,400800,31
1969,"Adventure, Comedy, Musical",146,USA,7.1,12470,400881,32
1999,"Drama, Romance",80,"France, Switzerland, Belgium, Luxembourg",7.1,5029,401299,67
2000,"Action, Comedy, Drama",163,India,5.1,1686,402226,1
1991,Drama,238,"France, Switzerland",7.7,6134,403056,42
2009,Drama,118,Turkey,7.1,488,403642,1
2005,"Comedy, Drama",94,Turkey,8.2,16548,405002,1
2000,"Comedy, Drama, Musical",173,India,5.2,3778,406235,3
2007,Comedy,94,USA,4.5,1006,406362,7
2017,Drama,92,USA,6.4,352,407871,2
2010,"Family, Fantasy",78,Brazil,5.9,111,408388,2
1970,"Crime, Drama, Thriller",140,"France, Italy",8,19725,408916,74
2002,"Crime, Drama",105,"Argentina, Chile, France, Netherlands",6.8,1727,410474,23
2005,"Comedy, Drama, Musical",103,USA,6.6,2725,410602,37
2017,"Comedy, Drama",122,India,7.2,408,412905,
2007,Comedy,97,"Spain, UK",6,150,413667,1
2018,Drama,80,"France, Qatar, Belgium, Morocco",6.5,553,415435,22
2014,"Comedy, Fantasy",93,USA,5.8,9197,415863,25
2007,Thriller,90,Spain,6.2,3117,418026,46
1991,Drama,111,USA,6.3,4570,418807,14
2002,"Biography, Crime, Drama",105,"Brazil, France",7,2462,419046,37
2012,"Drama, Thriller",101,"UK, Ireland",6.2,11569,421425,165
2013,"Comedy, Crime",136,India,4.4,400,422247,1
2014,"Drama, Music, Romance",112,UK,6.4,8152,423306,85
2009,"Biography, Comedy, Drama",90,Germany,5.8,392,424773,15
2016,Drama,95,France,5.8,315,425144,26
2000,"Action, Drama, Musical",162,India,6.1,8801,426318,1
1993,"Horror, Sci-Fi",87,USA,5.9,15749,428868,71
1948,Drama,89,Italy,8.3,132234,428978,152
2004,"Action, Adventure, Sci-Fi",99,Hong Kong,5.1,2197,429328,29
2012,"Comedy, Crime, Mystery",101,"France, Belgium",5.5,351,430574,6
2016,"Action, Comedy, Drama",135,Japan,6.1,111,431640,10
2012,"Action, Adventure, Drama",94,"USA, UK, South Africa, Germany, France",4.3,7813,432274,56
2017,Drama,95,UK,6.8,1396,434336,43
2008,"Comedy, Drama, Family",90,India,1.9,260,436441,2
2007,Drama,105,Thailand,6.8,1398,436809,23
2012,"Crime, Drama, Thriller",93,Finland,5.9,807,439290,
2010,"Comedy, Romance",105,Hong Kong,6.3,539,439766,6
2018,"Drama, Romance",122,India,6.9,555,440647,1
2013,"Comedy, Drama",94,USA,6.4,17998,442313,197
2017,"Comedy, Drama, Romance",93,Argentina,3.9,1071,442472,4
1989,"Action, Drama, Romance",113,UK,6.2,1193,444055,21
2005,Thriller,101,France,6.4,192,444669,3
2010,"Drama, Romance",121,Australia,6.4,348,445957,8
2014,"Action, Crime, Drama",105,Turkey,7.1,3525,446619,4
2013,Drama,96,"Australia, Thailand, Laos",7.3,2829,449064,80
2010,"Comedy, Crime, Drama",106,USA,7,49068,449702,137
2009,Drama,117,Chile,6,303,450243,6
2013,"Comedy, Drama, Romance",123,Poland,6.4,282,452285,7
2012,"Comedy, Drama, Music",86,"Finland, Sweden",6.4,775,453178,1
2010,"Comedy, Crime, Thriller",93,USA,6.8,23706,453708,111
1995,"Drama, Romance",117,Japan,8,6434,454754,17
2004,"Comedy, Crime",97,"France, Belgium, Luxembourg",5,182,455978,2
2018,"Comedy, Drama",92,USA,7.1,9877,456304,87
2011,Comedy,88,Norway,3.1,414,458344,
2001,"Action, Adventure, Drama",185,Thailand,6.5,1801,458564,30
2012,"Mystery, Thriller",122,India,8.1,53242,459234,48
2011,"Drama, Thriller",102,Finland,6,525,460581,1
2008,"Comedy, Drama, Romance",154,India,6.1,1001,461541,5
2007,Drama,95,France,6.4,218,461932,5
2006,"Animation, Family, Romance",76,USA,3.6,306,463002,9
2012,"Drama, Thriller",131,Brazil,7.1,6000,465082,256
2012,"Comedy, Drama",110,Finland,6.4,1868,465142,10
2005,"Drama, Romance",160,India,5.5,3319,466647,7
2013,Comedy,109,Egypt,4.3,255,467059,
2015,"Comedy, Romance",90,Spain,6.5,2408,468761,15
2012,"Drama, Romance",82,Denmark,5.7,490,471159,12
2006,"Drama, Thriller",116,"Italy, France, Portugal",5.3,1679,471845,29
2004,"Comedy, Drama, Romance",95,Egypt,4.6,516,473446,
2018,Comedy,90,Lithuania,5.8,160,474562,
2001,"Comedy, Romance",93,USA,6.2,6500,475628,19
2014,"Comedy, Drama",99,Spain,5.8,380,475796,5
2009,"Horror, Thriller",108,USA,5.3,13590,477004,70
2002,"Drama, Comedy, Romance",98,"France, Spain, Switzerland",5.6,2391,478262,29
2006,Horror,95,USA,5.5,8981,478535,68
2016,"Animation, Adventure, Comedy",56,Czech Republic,7.3,147,480418,1
2014,"Drama, Romance, Sci-Fi",106,USA,7.4,107282,481234,151
2018,"Action, Adventure, Drama",160,Netherlands,5.4,1715,482806,12
2006,"Adventure, Comedy, Sci-Fi",84,USA,6.6,135273,485199,134
2005,"Drama, History, Musical",170,India,4.5,1250,485613,7
2008,Comedy,85,Brazil,5,120,487258,
2017,Drama,115,"Argentina, Brazil, Spain, Dominican Republic, France, Netherlands, Mexico, Switzerland, USA, Portugal, Lebanon",6.7,4418,489692,108
2004,"Drama, War",117,"Denmark, UK, Sweden, Norway",7.5,10455,489706,88
2013,"Mystery, Thriller",86,"UK, Spain",4.7,5136,489884,36
2013,"Drama, Romance",98,"France, Belgium",5.7,3670,491204,43
2014,"Comedy, Romance",86,USA,6.4,61782,492332,43
2003,"Comedy, Drama, Romance",110,Egypt,5.8,620,493304,2
2008,"Comedy, Drama",114,Egypt,3.8,265,494473,
2019,"Action, Comedy, Thriller",130,India,8.1,2229,496417,4
2005,Drama,100,Poland,7,1561,496454,2
2015,"Drama, Romance",129,India,6.7,4798,498774,20
2019,"Comedy, Crime",87,"UK, USA",5.8,1770,499552,33
2012,"Biography, Drama, Music",103,"UK, Ireland",7.2,4488,500168,73
2012,Romance,153,India,6.5,1411,501432,2
2010,"Action, Sci-Fi, Thriller",93,"Japan, Taiwan, Germany, Canada, USA, UK",3,3955,501732,14
2003,"Drama, Musical",160,"India, Pakistan",3.6,125,503266,1
2017,"Adventure, Comedy, Crime",99,"Germany, Italy",5.8,107,503932,12
2007,"Drama, Thriller",145,India,5.9,245,504875,4
2009,"Animation, Action, Comedy",80,Japan,7,1304,505349,12
2005,"Biography, Drama",90,France,4.6,166,507886,2
2016,"Comedy, Drama, Thriller",115,"Belgium, Ireland",5.9,463,508647,2
2008,Drama,90,"Argentina, France",6.7,345,508702,12
2014,"Action, Horror, Thriller",93,USA,4.3,279,510957,10
2015,Mystery,96,Spain,6,684,511924,9
2003,Drama,96,Italy,6.6,176,513297,4
