zoom_level,alternative,avg_time_in_seconds,number_of_samples,leader_threshold,subleader_threshold,avg_leader_time,leaders,subleaders,example
1,left,4.267405000000224e-05,541,1.5,1.49,0.011627208949999997,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2481149999993304e-05,541,1.5,1.49,0.011627208949999997,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3182359999995865e-05,541,1.5,1.49,0.011627208949999997,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.52566560000065e-05,541,1.5,1.49,0.011627208949999997,1,1,average
1,left,4.4794010000011044e-05,1351,1.5,1.49,0.029152077,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.261362000001156e-05,1351,1.5,1.49,0.029152077,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.6478319999998516e-05,1351,1.5,1.49,0.029152077,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.190194999999619e-05,1351,1.5,1.49,0.029152077,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.362550000003296e-05,1351,1.5,1.49,0.029152077,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3882680000010054e-05,1351,1.5,1.49,0.029152077,1,1,average
1,left,4.67043300000114e-05,293,1.5,1.49,0.006340805090000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2040999999990445e-05,293,1.5,1.49,0.006340805090000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2424869999990736e-05,293,1.5,1.49,0.006340805090000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.639567999998206e-05,293,1.5,1.49,0.006340805090000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.7445929999980763e-05,293,1.5,1.49,0.006340805090000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.5002361999991087e-05,293,1.5,1.49,0.006340805090000004,1,1,average
1,left,4.326963000000461e-05,298,1.5,1.49,0.0064173266100000246,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.168786000001035e-05,298,1.5,1.49,0.0064173266100000246,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3868909999993376e-05,298,1.5,1.49,0.0064173266100000246,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.1678889999978707e-05,298,1.5,1.49,0.0064173266100000246,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.4114729999975567e-05,298,1.5,1.49,0.0064173266100000246,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.292400399999253e-05,298,1.5,1.49,0.0064173266100000246,1,1,average
1,left,4.2904429999985896e-05,2354,1.5,1.49,0.05075263681000003,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.339362999999707e-05,2354,1.5,1.49,0.05075263681000003,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.431293999999752e-05,2354,1.5,1.49,0.05075263681000003,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,7.346745999996074e-05,2354,1.5,1.49,0.05075263681000003,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2964539999985615e-05,2354,1.5,1.49,0.05075263681000003,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.940859999998536e-05,2354,1.5,1.49,0.05075263681000003,1,1,average
1,left,4.631698000004292e-05,450,1.5,1.49,0.009617942570000012,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2289820000007695e-05,450,1.5,1.49,0.009617942570000012,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.377276999996127e-05,450,1.5,1.49,0.009617942570000012,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.231263000001206e-05,450,1.5,1.49,0.009617942570000012,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.295738999999798e-05,450,1.5,1.49,0.009617942570000012,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3529918000004385e-05,450,1.5,1.49,0.009617942570000012,1,1,average
1,left,4.242872999995484e-05,1077,1.5,1.49,0.02347234058000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.561532000003865e-05,1077,1.5,1.49,0.02347234058000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.877593000003344e-05,1077,1.5,1.49,0.02347234058000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.409694999999658e-05,1077,1.5,1.49,0.02347234058000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2052639999994315e-05,1077,1.5,1.49,0.02347234058000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.459391400000357e-05,1077,1.5,1.49,0.02347234058000005,1,1,average
1,left,4.20952800000407e-05,389,1.5,1.49,0.008371510979999996,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.264775999999415e-05,389,1.5,1.49,0.008371510979999996,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.231009999998037e-05,389,1.5,1.49,0.008371510979999996,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2276650000019344e-05,389,1.5,1.49,0.008371510979999996,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.163664000003564e-05,389,1.5,1.49,0.008371510979999996,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2193286000014044e-05,389,1.5,1.49,0.008371510979999996,1,1,average
1,left,4.236818999999059e-05,358,1.5,1.49,0.007696294440000031,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.409462999994673e-05,358,1.5,1.49,0.007696294440000031,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.4672410000003995e-05,358,1.5,1.49,0.007696294440000031,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.175624000005485e-05,358,1.5,1.49,0.007696294440000031,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.698573000005979e-05,358,1.5,1.49,0.007696294440000031,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.397544000001119e-05,358,1.5,1.49,0.007696294440000031,1,1,average
1,left,4.3425240000019016e-05,2150,1.5,1.49,0.04630410185999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3508099999982617e-05,2150,1.5,1.49,0.04630410185999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.351326000005429e-05,2150,1.5,1.49,0.04630410185999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2007390000051716e-05,2150,1.5,1.49,0.04630410185999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.42960499999856e-05,2150,1.5,1.49,0.04630410185999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3350008000018654e-05,2150,1.5,1.49,0.04630410185999999,1,1,average
1,left,4.298962000000017e-05,194,1.5,1.49,0.004244097010000019,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.295060000004014e-05,194,1.5,1.49,0.004244097010000019,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.296080000003144e-05,194,1.5,1.49,0.004244097010000019,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.314941000004069e-05,194,1.5,1.49,0.004244097010000019,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.219083999998929e-05,194,1.5,1.49,0.004244097010000019,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2848254000020344e-05,194,1.5,1.49,0.004244097010000019,1,1,average
1,left,4.344043999999769e-05,447,1.5,1.49,0.009827062720000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.281416999994292e-05,447,1.5,1.49,0.009827062720000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3722419999951964e-05,447,1.5,1.49,0.009827062720000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.233669999997858e-05,447,1.5,1.49,0.009827062720000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.22074100000458e-05,447,1.5,1.49,0.009827062720000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.290422799998339e-05,447,1.5,1.49,0.009827062720000015,1,1,average
1,left,4.3378290000006814e-05,2706,1.5,1.49,0.05842843732999995,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.268696000004013e-05,2706,1.5,1.49,0.05842843732999995,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.245984999997176e-05,2706,1.5,1.49,0.05842843732999995,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.272771000003672e-05,2706,1.5,1.49,0.05842843732999995,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,5.159659000000261e-05,2706,1.5,1.49,0.05842843732999995,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.45698800000116e-05,2706,1.5,1.49,0.05842843732999995,1,1,average
1,left,4.2453459999975965e-05,901,1.5,1.49,0.01963489831000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,7.925089000003994e-05,901,1.5,1.49,0.01963489831000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2644699999954127e-05,901,1.5,1.49,0.01963489831000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.186819999993929e-05,901,1.5,1.49,0.01963489831000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.100741999998547e-05,901,1.5,1.49,0.01963489831000004,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.944493399997896e-05,901,1.5,1.49,0.01963489831000004,1,1,average
1,left,4.187285999996959e-05,2031,1.5,1.49,0.04424092072000001,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.396072000005802e-05,2031,1.5,1.49,0.04424092072000001,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.499374000005218e-05,2031,1.5,1.49,0.04424092072000001,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.369379999999978e-05,2031,1.5,1.49,0.04424092072000001,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.225454000000184e-05,2031,1.5,1.49,0.04424092072000001,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3355132000016285e-05,2031,1.5,1.49,0.04424092072000001,1,1,average
1,left,4.2241109999991975e-05,4057,1.5,1.49,0.08842676826999991,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.251342000003433e-05,4057,1.5,1.49,0.08842676826999991,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3134229999992614e-05,4057,1.5,1.49,0.08842676826999991,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.5536539999915245e-05,4057,1.5,1.49,0.08842676826999991,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.479390000000194e-05,4057,1.5,1.49,0.08842676826999991,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.364383999998722e-05,4057,1.5,1.49,0.08842676826999991,1,1,average
1,left,4.69730599999707e-05,584,1.5,1.49,0.01282365341000002,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.326016000007371e-05,584,1.5,1.49,0.01282365341000002,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2743099999995596e-05,584,1.5,1.49,0.01282365341000002,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
