zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.01912436912000004,894,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.02223247121,894,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.013531964689999967,894,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.027958486120000004,894,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.008598338399999931,894,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.027977267929999952,894,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.013943289765999964,894,average
1,right,0.026850851110000008,894,average
1,left,0.007329264959999904,541,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.01764540230999998,541,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.007231221730000073,541,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.017163827079999975,541,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.011175421100000022,541,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.01482532591000009,541,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.00690512506999994,541,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.01753932622999997,541,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.007261165939999898,541,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.016938048900000238,541,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.007980439759999968,541,average
1,right,0.016822386086000053,541,average
1,left,0.018840707969999926,1351,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.04321225475999995,1351,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.01843506843,1351,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.04236547478999995,1351,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.02800802324000017,1351,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.036909233640000136,1351,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.017595207230000087,1351,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.043064393570000165,1351,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.018230651300000032,1351,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.04209330645999984,1351,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.020221931634000045,1351,average
1,right,0.04152893264400001,1351,average
