[1.0, 5.0]; [0.0, 757523835.5],[0.9233487473039363, 0.2114313786939821, 0.0, 0.024352927414282893, 0.2, 0.38239195463725767, 0.6744071238656847, 0.37324799999999997, 0.00855591659648746]
[1.0, 5.0]; [205346.0, 757729181.5],[0.7055056687310161, 0.4207978647099567, 0.0, 0.03516390276483912, 0.16049382716049382, 0.22977346650995142, 0.6711064776978577, 0.3892708170863877, 0.004943721425416471]
[1.5, 5.5]; [0.0, 757523835.5],[0.4542925032215994, 0.45173403430876335, 0.0, 0.03378530985931588, 0.21333333333333335, 0.11290734039280717, 0.6911222631499447, 0.5244872612533985, 0.017983600135882735]
[1.5, 5.5]; [205346.0, 757729181.5],[0.6289367414046483, 0.397002693038472, 0.004457165063891741, 0.030124256081574312, 0.12096774193548387, 0.09548235577672193, 0.6527596692850655, 0.3921568842290721, 0.01906533350945677]
[1.5, 5.5]; [410692.0, 757934527.5],[0.4094659298771539, 0.4771298064475844, 0.0, 0.03246083837652444, 0.27586206896551724, 0.15489354123981103, 0.5966497020867887, 0.4590787172011662, 0.037570670176984254]
[1.5, 5.5]; [616038.0, 758139873.5],[0.5832807362825791, 0.39930884302346703, 0.0, 0.029757948869545442, 0.17582417582417584, 0.17705608521003802, 0.5418017586196697, 0.3928574422132877, 0.021789540810621292]
[1.5, 5.5]; [821384.0, 758345219.5],[0.5082050388565257, 0.44806008446401324, 0.0, 0.03083064958204313, 0.14130434782608695, 0.18723699566690655, 0.6339397001231921, 0.37062565833405514, 0.02811092561746877]
[1.5, 5.5]; [1026730.0, 758550565.5],[0.6442185224577933, 0.4775899108950026, 0.0, 0.03256079500533836, 0.1276595744680851, 0.19892817986609074, 0.6316920908910149, 0.37671467764060357, 0.009935932643574378]
[1.5, 5.5]; [1232076.0, 758755911.5],[0.7438615655044009, 0.4481556223052141, 0.0, 0.030499483699288357, 0.14893617021276595, 0.23794244557847202, 0.6191493230680434, 0.32871021008015955, 0.021556980733282414]
[1.5, 5.5]; [1437422.0, 758961257.5],[0.5465625957188032, 0.489304893531057, 0.0, 0.03336184250714242, 0.125, 0.170023061335465, 0.686505928712667, 0.4633425790951302, 0.022521018280244196]
[1.5, 5.5]; [1642768.0, 759166603.5],[0.5545686177209377, 0.5012746231775506, 0.0, 0.030499483699288357, 0.1792452830188679, 0.198375012125004, 0.6240699405429181, 0.421875, 0.03613390860098611]
[1.5, 5.5]; [1848114.0, 759371949.5],[0.5311249992530055, 0.5942249678203729, 0.0, 0.034072645804346685, 0.19047619047619047, 0.22772976052576865, 0.6001156700426229, 0.4373079485892474, 0.02715761783689783]
