[4.119999999999997, 5.119999999999997]; [0.0, 189380958.875],[0.15747964283157742, 0.8217292812342805, 0.0, 0.09894358074335986, 0.42857142857142855, 0.27733617398227994, 0.5225130659625515, 0.6058261265361857, 4.8088997138245316e-05]
[4.119999999999997, 5.119999999999997]; [12834.0, 189393792.875],[0.15764615515258718, 0.8187690162082935, 0.0, 0.10058658315928333, 0.42857142857142855, 0.28118176894227437, 0.5233547996978122, 0.6058261265361857, 0.0002470869969019588]
[4.249999999999997, 5.249999999999997]; [0.0, 189380958.875],[0.41495076247354673, 0.8686233387820173, 0.0, 0.0961469795547569, 0.4117647058823529, 0.29333719169884803, 0.5094730029622331, 0.5738270128607391, 0.0002616529920204656]
[4.249999999999997, 5.249999999999997]; [12834.0, 189393792.875],[0.41533459657594035, 0.8660677803901168, 0.0, 0.09778691260168099, 0.43529411764705883, 0.2976220955452427, 0.5103128025681025, 0.6081238211591221, 0.0007378789641809797]
[4.249999999999997, 5.249999999999997]; [25668.0, 189406626.875],[0.4155054160574461, 0.8647509281208319, 0.0, 0.09874837593097523, 0.43529411764705883, 0.3004693707484753, 0.5103614777217675, 0.6081238211591221, 0.0008545223238875343]
[4.249999999999997, 5.249999999999997]; [38502.0, 189419460.875],[0.4156681984076259, 0.8639077868054023, 0.0, 0.09936397228533227, 0.43529411764705883, 0.3021515677174125, 0.5104027856363735, 0.6081238211591221, 0.0014807794337958486]
[4.249999999999997, 5.249999999999997]; [51336.0, 189432294.875],[0.41573713772927573, 0.8635666497554112, 0.0, 0.09961304408440969, 0.43529411764705883, 0.3026659017720126, 0.5106235116875872, 0.6081238211591221, 0.0013790460916602103]
[4.379999999999997, 5.379999999999997]; [0.0, 189380958.875],[0.27527255055369154, 0.8639099380601326, 0.0, 0.09442056465812614, 0.48936170212765956, 0.2738679579897483, 0.5077561674543859, 0.6491327026595668, 0.00020358829126750135]
[4.379999999999997, 5.379999999999997]; [12834.0, 189393792.875],[0.27552044757036226, 0.8613812306495119, 0.0, 0.09617500563759673, 0.5425531914893617, 0.2784703564080778, 0.5083107263513265, 0.6803529985816396, 0.0007146589482805016]
[4.379999999999997, 5.379999999999997]; [25668.0, 189406626.875],[0.27561705412703147, 0.8601398267304874, 0.0, 0.0970363033498051, 0.5425531914893617, 0.2808712991040768, 0.5083444983223517, 0.7433877467942194, 0.0007486487053049083]
[4.379999999999997, 5.379999999999997]; [38502.0, 189419460.875],[0.2756662330228784, 0.8592487402233344, 0.0, 0.09765454754754675, 0.5425531914893617, 0.2825040901250232, 0.49259190028037325, 0.7433877467942194, 0.0008177409898910347]
[4.379999999999997, 5.379999999999997]; [51336.0, 189432294.875],[0.27580646067966064, 0.8411659895015638, 0.0, 0.09798118747303136, 0.5053763440860215, 0.28310051949574033, 0.5089118668102659, 0.6769489705604969, 0.0006929710225636298]
[4.379999999999997, 5.379999999999997]; [64170.0, 189445128.875],[0.2758047201012128, 0.8403022311631855, 0.0, 0.09841977707453843, 0.4838709677419355, 0.2842310743572331, 0.5088561430434122, 0.6454150131435098, 0.0007307531659101975]
[4.379999999999997, 5.379999999999997]; [77004.0, 189457962.875],[0.27586128585000125, 0.8399557584363131, 0.0, 0.0988120218289919, 0.44086021505376344, 0.2852635683354439, 0.49271840223618524, 0.6141249999999999, 0.0007325831280312598]
[4.379999999999997, 5.379999999999997]; [89838.0, 189470796.875],[0.2759226410314927, 0.8304490736764897, 0.0, 0.0989751213012876, 0.4673913043478261, 0.28559917831340753, 0.509088561860385, 0.6377426532181025, 0.0008295500790818285]
[4.379999999999997, 5.379999999999997]; [102672.0, 189483630.875],[0.2759623327752059, 0.8302937179661989, 0.0, 0.09934488922143708, 0.4673913043478261, 0.2867052020882801, 0.492956690715999, 0.6377426532181025, 0.0007279827512844671]
[4.379999999999997, 5.379999999999997]; [115506.0, 189496464.875],[0.2770345393554267, 0.836751099972359, 0.0, 0.0996055684379055, 0.449438202247191, 0.2843540534730991, 0.495793360364133, 0.6170587132055356, 0.000798902371363279]
[4.379999999999997, 5.379999999999997]; [128340.0, 189509298.875],[0.2770897580304531, 0.8456135822182383, 0.0, 0.0997304431164123, 0.4666666666666667, 0.2846755303610654, 0.49580683157125527, 0.6587979401270005, 0.0010150094932900684]
[4.379999999999997, 5.379999999999997]; [141174.0, 189522132.875],[0.27664299388243835, 0.845868319957308, 0.0, 0.09984353692265352, 0.4835164835164835, 0.28658365048248347, 0.4941585223917153, 0.7023319615912208, 0.0008173756506173119]
[4.379999999999997, 5.379999999999997]; [154008.0, 189534966.875],[0.27675268673584863, 0.8456096899010891, 0.0, 0.10001107249717164, 0.46153846153846156, 0.2873978153051067, 0.5102292278670124, 0.6625870294509348, 0.0008349781587902791]
