[3.0, 5.0]; [0.0, 378761917.75],[0.29503774253478926, 0.516970148982639, 0.0024152758778799984, 0.04960082559296818, 0.16037735849056603, 0.21696215256155812, 0.5754841065310512, 0.3969677519775721, 0.0020738158882295157]
[3.0, 5.0]; [77005.5, 378838923.25],[0.29654338317538653, 0.48495500879992903, 0.0032763545844938474, 0.05203770656892467, 0.14150943396226415, 0.2257064508539361, 0.5774158893536908, 0.3969677519775721, 0.001667966190972553]
[3.5, 5.5]; [0.0, 378761917.75],[0.22388709982170002, 0.7365434821446956, 0.0, 0.04329280608527923, 0.25675675675675674, 0.21399616456054207, 0.5388051621404312, 0.41114988452266565, 0.009750484481981613]
[3.5, 5.5]; [77005.5, 378838923.25],[0.22462838352870892, 0.7204750768651473, 0.0, 0.045907905521538, 0.2635135135135135, 0.22443301590662731, 0.5336220726597074, 0.4290658976818467, 0.012175380684927977]
[3.5, 5.5]; [154011.0, 378915928.75],[0.2250478743125745, 0.7095842791449866, 0.0, 0.045840690962191885, 0.2483221476510067, 0.22486472305906174, 0.5406236872475135, 0.4290658976818467, 0.012758714512948273]
[3.5, 5.5]; [231016.5, 378992934.25],[0.22551023602099768, 0.6879152264151824, 0.0, 0.0463555830850393, 0.2054794520547945, 0.22673645933897302, 0.5421669601186161, 0.38212568187472845, 0.013628375069294622]
[3.5, 5.5]; [308022.0, 379069939.75],[0.22565543453676914, 0.6960554308556597, 0.0, 0.04682442500293341, 0.2328767123287671, 0.22855897907279904, 0.542184919943125, 0.39627707313827676, 0.013296648236375434]
[3.5, 5.5]; [385027.5, 379146945.25],[0.22598245590543242, 0.689260851948001, 0.0, 0.04802433369045626, 0.19863013698630136, 0.23292329298284264, 0.5361458223782418, 0.329809166040571, 0.013618052617604758]
[3.5, 5.5]; [462033.0, 379223950.75],[0.22639037458423297, 0.6809376931618003, 0.0, 0.047391992579614906, 0.1917808219178082, 0.23056507120910513, 0.54295272714261, 0.2921619894158817, 0.013503687398448129]
[3.5, 5.5]; [539038.5, 379300956.25],[0.2265934609152489, 0.6783436768181021, 0.0, 0.047777295389370755, 0.2054794520547945, 0.2318980776088941, 0.5439824282553314, 0.36050586744523916, 0.012455385128902798]
[3.5, 5.5]; [616044.0, 379377961.75],[0.22657598036888338, 0.6833899419260688, 0.0, 0.04893167524599381, 0.23972602739726026, 0.23617969048976561, 0.5372413498194074, 0.4293196827093897, 0.0123832314761373]
[3.5, 5.5]; [693049.5, 379454967.25],[0.22828104302857088, 0.6998207489192976, 0.0, 0.04924294206070002, 0.2482758620689655, 0.23657398897164733, 0.5348189171561237, 0.36050586744523916, 0.012201581124431598]
[3.5, 5.5]; [770055.0, 379531972.75],[0.2286861137979216, 0.6856486895165366, 0.0, 0.048507977331227185, 0.17482517482517482, 0.23697084389906914, 0.5348110524665781, 0.3307834908652186, 0.012098305479127814]
[3.5, 5.5]; [847060.5, 379608978.25],[0.22898315873894204, 0.6845614669201977, 0.0, 0.048675748125553114, 0.17482517482517482, 0.23722265731893968, 0.5354538757539893, 0.3583351768060386, 0.013827753997500695]
[3.5, 5.5]; [924066.0, 379685983.75],[0.22907715235787957, 0.689522944116589, 0.0, 0.04987435803140835, 0.20422535211267606, 0.23842467659087085, 0.5357630343979425, 0.35421438502925223, 0.013680198170415112]
[3.5, 5.5]; [1001071.5, 379762989.25],[0.22933157287353334, 0.6884136485293435, 0.0, 0.05005255285847383, 0.2112676056338028, 0.23930192996304991, 0.5360057628351184, 0.3224256559766764, 0.014174167321875921]
[3.5, 5.5]; [1078077.0, 379839994.75],[0.22941035153379924, 0.6795324335755539, 0.0, 0.049451785085936006, 0.20422535211267606, 0.23800619155452504, 0.5412696504315074, 0.34437566681332815, 0.014777099308722112]
[3.5, 5.5]; [1155082.5, 379917000.25],[0.2293866079377772, 0.6978011866655626, 0.0, 0.05224831400008662, 0.22142857142857142, 0.25274700536261036, 0.505932707178826, 0.3792039736529532, 0.014824524478809435]
[3.5, 5.5]; [1232088.0, 379994005.75],[0.22998307697607348, 0.6718665309065179, 0.0, 0.05159462402558025, 0.21428571428571427, 0.2529945854319009, 0.5065850516147943, 0.42575726103430894, 0.014918960750448981]
[3.5, 5.5]; [1309093.5, 380071011.25],[0.22970427375610794, 0.670420523311393, 0.0, 0.05093608212947467, 0.24822695035460993, 0.2426245563180206, 0.5365673609230086, 0.38071657082582705, 0.016290796432291192]
[3.5, 5.5]; [1386099.0, 380148016.75],[0.23051757038946633, 0.6758223122967364, 0.0, 0.052088917851927534, 0.22142857142857142, 0.2526178402245301, 0.5128473666844933, 0.4180857263399266, 0.016654274730577703]
[3.5, 5.5]; [1463104.5, 380225022.25],[0.23065816314573614, 0.6750073419765714, 0.0, 0.05221986740110716, 0.22857142857142856, 0.25318964395257026, 0.5127136525031422, 0.43338005646259853, 0.018351792670186693]
[4.0, 6.0]; [0.0, 378761917.75],[0.12835552232288774, 0.8075271477428995, 0.0, 0.04047978349710282, 0.271356783919598, 0.26897464271817434, 0.6187096640220356, 0.476837158203125, 0.013609426529260718]
[4.0, 6.0]; [77005.5, 378838923.25],[0.1286612213349266, 0.7857045750659682, 0.0, 0.04151962650226203, 0.32160804020100503, 0.27587420672897384, 0.6210393302888915, 0.5214230785972346, 0.01771564272867096]
[4.0, 6.0]; [154011.0, 378915928.75],[0.1287023275835204, 0.8015899573019116, 0.0, 0.04196541882540475, 0.305, 0.27822910864762807, 0.621668118310554, 0.4908327524554422, 0.018786053571038446]
[4.0, 6.0]; [231016.5, 378992934.25],[0.12884157391653128, 0.7816143133650287, 0.0, 0.04231211256757021, 0.3316582914572864, 0.2771558631660379, 0.6096655726861779, 0.509662104075681, 0.02058699231154413]
[4.0, 6.0]; [308022.0, 379069939.75],[0.12930824210795977, 0.7841078209545053, 0.0, 0.042632233082898714, 0.3165829145728643, 0.2782701337314756, 0.6108978761507704, 0.5167553877100186, 0.02085894581863902]
[4.0, 6.0]; [385027.5, 379146945.25],[0.12930389842868295, 0.7664610723976166, 0.0, 0.04285415058107637, 0.31155778894472363, 0.2795510571877085, 0.61086390869459, 0.5073027817141014, 0.021987812030091983]
[4.0, 6.0]; [462033.0, 379223950.75],[0.1292525306900509, 0.7655485587440449, 0.0, 0.04302159588845583, 0.2914572864321608, 0.2807204942408158, 0.6107442431649666, 0.43545364174151596, 0.022661283428686164]
