[2.75, 4.75]; [0.0, 378761917.75],[0.10306496416097222, 0.4561386239481158, 0.0033467727304878655, 0.05741212192760529, 0.1111111111111111, 0.20847853064265834, 0.5472811843475506, 0.32363023377210626, 0.006386243460655014]
[3.0, 5.0]; [0.0, 378761917.75],[0.29503774253478926, 0.516970148982639, 0.0024152758778799984, 0.04960082559296818, 0.16037735849056603, 0.21696215256155812, 0.5754841065310512, 0.3969677519775721, 0.0020738158882295157]
[3.0, 5.0]; [51337.0, 378813254.75],[0.29610603424475057, 0.48874671753357013, 0.0031099758370046705, 0.05162941176470588, 0.1792452830188679, 0.2246216873275873, 0.5770082542101198, 0.421875, 0.0010787216017975048]
[3.25, 5.25]; [0.0, 378761917.75],[0.33994029452540864, 0.6721249809653734, 0.0, 0.049173760898363575, 0.24603174603174602, 0.23021483282976413, 0.6026792025761437, 0.43054339603396535, 0.0018033758785756374]
[3.25, 5.25]; [51337.0, 378813254.75],[0.3413042109828167, 0.6462593507047445, 0.0, 0.05063752939634034, 0.21428571428571427, 0.23749265170070502, 0.6042998669705117, 0.43054339603396535, 0.0019565835647181117]
[3.25, 5.25]; [102674.0, 378864591.75],[0.34156377285898126, 0.6590088453779049, 0.0, 0.05140246368575215, 0.256, 0.24032028134965958, 0.605214808772031, 0.45241312214070084, 0.0022750681333516044]
[3.25, 5.25]; [154011.0, 378915928.75],[0.3423016586600385, 0.6556546661279665, 0.0, 0.05190808699812675, 0.256, 0.24249944202086635, 0.6051396595368208, 0.47455200000000003, 0.0021698524353700355]
[3.25, 5.25]; [205348.0, 378967265.75],[0.34256999876336225, 0.6737502789620335, 0.0, 0.05269527452408187, 0.2619047619047619, 0.24375296398188925, 0.6052940990078206, 0.4785387959440979, 0.0021725456392660443]
[3.25, 5.25]; [256685.0, 379018602.75],[0.34280666982813407, 0.668114762563826, 0.0, 0.05258371924218539, 0.23809523809523808, 0.2449661909714661, 0.6059270293223296, 0.4347886579291538, 0.0016023857709503483]
[3.25, 5.25]; [308022.0, 379069939.75],[0.3429098268223481, 0.5918779427286349, 0.0, 0.05293227104249353, 0.224, 0.24600236643084514, 0.6062190482886782, 0.3921568842290721, 0.0021875889956521214]
[3.25, 5.25]; [359359.0, 379121276.75],[0.3437293810219911, 0.5726495465916938, 0.0, 0.05317554239916861, 0.27049180327868855, 0.2463762859345815, 0.60704408524458, 0.4396983959056713, 0.002135296960792156]
[3.5, 5.5]; [0.0, 378761917.75],[0.22388709982170002, 0.7365434821446956, 0.0, 0.04329280608527923, 0.25675675675675674, 0.21399616456054207, 0.5388051621404312, 0.41114988452266565, 0.009750484481981613]
[3.5, 5.5]; [51337.0, 378813254.75],[0.22435103079318416, 0.7228189888502939, 0.0, 0.04552295204848759, 0.25675675675675674, 0.2229686186702542, 0.5333989651752782, 0.41114988452266565, 0.011518441118506579]
[3.5, 5.5]; [102674.0, 378864591.75],[0.2248633698304246, 0.7186048532810729, 0.0, 0.046215062560126696, 0.26174496644295303, 0.22577644229727456, 0.5336346606885841, 0.4290658976818467, 0.012623059189400545]
[3.5, 5.5]; [154011.0, 378915928.75],[0.2250478743125745, 0.7095842791449866, 0.0, 0.045840690962191885, 0.2483221476510067, 0.22486472305906174, 0.5406236872475135, 0.4290658976818467, 0.012758714512948273]
[3.5, 5.5]; [205348.0, 378967265.75],[0.22498608546510113, 0.6890422739598177, 0.0, 0.04618817682072206, 0.22448979591836735, 0.2263097289383128, 0.541089555868475, 0.4037971562422946, 0.01332057710532283]
[3.5, 5.5]; [256685.0, 379018602.75],[0.2255743768198313, 0.6868552119456123, 0.0, 0.0465130325762499, 0.2054794520547945, 0.2273535608930016, 0.5422102286944404, 0.3644314868804665, 0.013082945007996921]
[3.5, 5.5]; [308022.0, 379069939.75],[0.22565543453676914, 0.6960554308556597, 0.0, 0.04682442500293341, 0.2328767123287671, 0.22855897907279904, 0.542184919943125, 0.39627707313827676, 0.013296648236375434]
[3.5, 5.5]; [359359.0, 379121276.75],[0.22579916707034725, 0.6900932086703377, 0.0, 0.047895694034868645, 0.21232876712328766, 0.23223396095282287, 0.5362483873588415, 0.34698833237912863, 0.013245748938248267]
[3.5, 5.5]; [410696.0, 379172613.75],[0.22611712805839282, 0.6998244737892304, 0.0, 0.04813867532899801, 0.1917808219178082, 0.23332389170086942, 0.5359383312405379, 0.2921619894158817, 0.013742476413308481]
[3.5, 5.5]; [462033.0, 379223950.75],[0.22639037458423297, 0.6809376931618003, 0.0, 0.047391992579614906, 0.1917808219178082, 0.23056507120910513, 0.54295272714261, 0.2921619894158817, 0.013503687398448129]
[3.5, 5.5]; [513370.0, 379275287.75],[0.22652900849358415, 0.6792595143824643, 0.0, 0.04764126124768696, 0.2054794520547945, 0.23139238286098646, 0.5436806692815239, 0.36050586744523916, 0.013082397030009746]
[3.5, 5.5]; [564707.0, 379326624.75],[0.22652583258220518, 0.6775304563103663, 0.0, 0.0478980872831238, 0.21232876712328766, 0.23262603657487013, 0.5438231247935594, 0.4000583175389998, 0.01277608388436969]
[3.5, 5.5]; [616044.0, 379377961.75],[0.22657598036888338, 0.6833899419260688, 0.0, 0.04893167524599381, 0.23972602739726026, 0.23617969048976561, 0.5372413498194074, 0.4293196827093897, 0.0123832314761373]
[3.5, 5.5]; [667381.0, 379429298.75],[0.2280199377022359, 0.6997176983823342, 0.0, 0.04916883018202651, 0.2620689655172414, 0.23639604701634576, 0.5345693402598559, 0.4329764116051615, 0.011997657593153962]
[3.5, 5.5]; [718718.0, 379480635.75],[0.22860224215339064, 0.6924732062795556, 0.0, 0.049317586495980933, 0.25, 0.23670112855368292, 0.5347549083298534, 0.35653794139744555, 0.011700459384512247]
[3.5, 5.5]; [770055.0, 379531972.75],[0.2286861137979216, 0.6856486895165366, 0.0, 0.048507977331227185, 0.17482517482517482, 0.23697084389906914, 0.5348110524665781, 0.3307834908652186, 0.012098305479127814]
[3.5, 5.5]; [821392.0, 379583309.75],[0.22901760019169992, 0.6846831000275544, 0.0, 0.04865697875568692, 0.1958041958041958, 0.23723926690436553, 0.5350396286613187, 0.3307834908652186, 0.013746076368355434]
[3.5, 5.5]; [872729.0, 379634646.75],[0.2289825180730116, 0.6835966743776685, 0.0, 0.04877007120934564, 0.16901408450704225, 0.23754700929616426, 0.5356033362607491, 0.3458346964610832, 0.013439633167957968]
[3.5, 5.5]; [924066.0, 379685983.75],[0.22907715235787957, 0.689522944116589, 0.0, 0.04987435803140835, 0.20422535211267606, 0.23842467659087085, 0.5357630343979425, 0.35421438502925223, 0.013680198170415112]
[3.5, 5.5]; [975403.0, 379737320.75],[0.22916984419914185, 0.6886614905590882, 0.0, 0.0500127400546209, 0.2112676056338028, 0.239038542104446, 0.5360826307928457, 0.3224256559766764, 0.013758376292695622]
[3.5, 5.5]; [1026740.0, 379788657.75],[0.22917763581034895, 0.6881650547401925, 0.0, 0.05009248642332042, 0.20422535211267606, 0.2396854396368959, 0.5358266832899408, 0.36241061448966105, 0.014649926438368932]
[3.5, 5.5]; [1078077.0, 379839994.75],[0.22941035153379924, 0.6795324335755539, 0.0, 0.049451785085936006, 0.20422535211267606, 0.23800619155452504, 0.5412696504315074, 0.34437566681332815, 0.014777099308722112]
[3.5, 5.5]; [1129414.0, 379891331.75],[0.22934796810503963, 0.6980468474265376, 0.0, 0.052205840767199634, 0.22142857142857142, 0.252541544523812, 0.505932707178826, 0.3792039736529532, 0.014376761305466222]
[3.5, 5.5]; [1180751.0, 379942668.75],[0.2298071418926314, 0.6908501257012586, 0.0, 0.051425846279283954, 0.22142857142857142, 0.2506153733073707, 0.5112145706330702, 0.4064421074023268, 0.014398603957942391]
[3.5, 5.5]; [1232088.0, 379994005.75],[0.22998307697607348, 0.6718665309065179, 0.0, 0.05159462402558025, 0.21428571428571427, 0.2529945854319009, 0.5065850516147943, 0.42575726103430894, 0.014918960750448981]
[3.5, 5.5]; [1283425.0, 380045342.75],[0.22979193938540463, 0.6709185012310431, 0.0, 0.051743689083790685, 0.22857142857142856, 0.25155736395736394, 0.5119992136219533, 0.4064421074023268, 0.016305304308720094]
[3.5, 5.5]; [1334762.0, 380096679.75],[0.23008074080769605, 0.6893440574858524, 0.0, 0.05102072294198806, 0.22695035460992907, 0.24242564579177958, 0.5373119264832211, 0.43712204468841104, 0.015653736700284564]
[3.5, 5.5]; [1386099.0, 380148016.75],[0.23051757038946633, 0.6758223122967364, 0.0, 0.052088917851927534, 0.22142857142857142, 0.2526178402245301, 0.5128473666844933, 0.4180857263399266, 0.016654274730577703]
[3.5, 5.5]; [1437436.0, 380199353.75],[0.23064251036831954, 0.6754154205039204, 0.0, 0.05215429728417896, 0.22857142857142856, 0.25291210987705276, 0.5129136296637353, 0.43338005646259853, 0.01741713457841409]
[3.75, 5.75]; [0.0, 378761917.75],[0.16745638533203608, 0.8111161136340719, 0.0, 0.04311204732119546, 0.3464052287581699, 0.2419809522883306, 0.5897598645609778, 0.4818903040000001, 0.01329083683773276]
[3.75, 5.75]; [51337.0, 378813254.75],[0.16788053581763482, 0.8053907936774655, 0.0, 0.04430270321432768, 0.35294117647058826, 0.2479939629410054, 0.5902829852977323, 0.4818903040000001, 0.014788241061496026]
[3.75, 5.75]; [102674.0, 378864591.75],[0.16801154806891747, 0.773007572781567, 0.0, 0.04490524876408182, 0.35947712418300654, 0.25114118057317486, 0.5906489014121998, 0.5180710833862613, 0.016299232398318857]
[3.75, 5.75]; [154011.0, 378915928.75],[0.16815003366541584, 0.7882835024606695, 0.0, 0.045306770731880434, 0.33986928104575165, 0.2531384441905507, 0.5907243470685684, 0.49679308800000005, 0.016252618085341168]
[3.75, 5.75]; [205348.0, 378967265.75],[0.16824752335390725, 0.7997505123859049, 0.0, 0.045586710856243634, 0.3660130718954248, 0.25518563642967723, 0.5902250977537055, 0.49679308800000005, 0.01612163409086305]
[3.75, 5.75]; [256685.0, 379018602.75],[0.16847509544499006, 0.8028588604948153, 0.0, 0.04657665402974966, 0.33986928104575165, 0.2561832190754041, 0.5900265055694223, 0.47868536218992314, 0.015570095543606418]
[3.75, 5.75]; [308022.0, 379069939.75],[0.1689738336742835, 0.8014039045944547, 0.0, 0.04692040256326088, 0.3464052287581699, 0.25736635475736547, 0.5909035170938799, 0.4999060176686782, 0.016360061161407518]
[3.75, 5.75]; [359359.0, 379121276.75],[0.1688527950759502, 0.7834051210043156, 0.0, 0.046350731465949445, 0.375, 0.25783042576271625, 0.5919150794006963, 0.49679308800000005, 0.01644575648762569]
[3.75, 5.75]; [410696.0, 379172613.75],[0.16888105878417567, 0.7955568175624858, 0.0, 0.04654140370271401, 0.375, 0.25861984345440064, 0.5919976182032188, 0.4936432143936088, 0.01634867666818919]
[3.75, 5.75]; [462033.0, 379223950.75],[0.168951399459526, 0.7770187647207565, 0.0, 0.0466195411322645, 0.3815789473684211, 0.2590405994727993, 0.5920884143920345, 0.4936432143936088, 0.015810104197674105]
[3.75, 5.75]; [513370.0, 379275287.75],[0.1689260592285684, 0.7811503631603524, 0.0, 0.04683324368337065, 0.32679738562091504, 0.26005539111343284, 0.5923150466902404, 0.4904557929180322, 0.01582369827305808]
[3.75, 5.75]; [564707.0, 379326624.75],[0.16946214064683848, 0.7975219827771614, 0.0, 0.04783754715270794, 0.2980132450331126, 0.2616361489777925, 0.5913925797255988, 0.46884301471978657, 0.014979684742834289]
[3.75, 5.75]; [616044.0, 379377961.75],[0.16887295847785813, 0.7661158129460444, 0.0, 0.04799754285155742, 0.3026315789473684, 0.26236609874764855, 0.5915912949997848, 0.447180948503969, 0.014941650508922256]
[3.75, 5.75]; [667381.0, 379429298.75],[0.16895863467661604, 0.7829821542858274, 0.0, 0.048176612870812686, 0.2894736842105263, 0.2630761710032483, 0.5920922558574085, 0.4326001285338653, 0.014442952793114864]
[3.75, 5.75]; [718718.0, 379480635.75],[0.16918249006262545, 0.7645734820954353, 0.0, 0.04831405886756454, 0.2847682119205298, 0.2638149842210993, 0.5920485750421387, 0.4839658357798575, 0.013831435217610199]
[3.75, 5.75]; [770055.0, 379531972.75],[0.1689874933839799, 0.776535234977593, 0.0, 0.048407201817595835, 0.304635761589404, 0.26415352940203163, 0.5918795156204143, 0.46884301471978657, 0.014775454239308577]
[3.75, 5.75]; [821392.0, 379583309.75],[0.16894684672606403, 0.7580784683111954, 0.0, 0.04778490814955683, 0.2913907284768212, 0.26458946462829835, 0.5927073061608716, 0.46548437500000006, 0.0162553149297722]
[3.75, 5.75]; [872729.0, 379634646.75],[0.16899710192411824, 0.7706095794730264, 0.0, 0.04787976633027973, 0.2980132450331126, 0.2648987055627768, 0.5928160522005361, 0.4904557929180322, 0.017034785128683633]
[3.75, 5.75]; [924066.0, 379685983.75],[0.16928505078454753, 0.7699881069777017, 0.0, 0.048089467682042315, 0.29605263157894735, 0.2657389579119406, 0.5930505196313591, 0.4936432143936088, 0.016257290926743665]
[3.75, 5.75]; [975403.0, 379737320.75],[0.1693998255490326, 0.7563287957141241, 0.0, 0.04820476250765468, 0.3092105263157895, 0.266180955263423, 0.5931574731628699, 0.47544289839091136, 0.015620759111956432]
