[1.0, 5.0]; [0.0, 757523835.5],[0.9417590886900915, 0.22081606715582391, 0.0, 0.021886518103165525, 0.09859154929577464, 0.32660113018986325, 0.6949352671020254, 0.27952890304961314, 0.011680126190551504]
[1.0, 5.0]; [102673.0, 757626508.5],[0.9156789895798435, 0.17563992988080945, 0.0, 0.023155471818229394, 0.09859154929577464, 0.34027658457666193, 0.6971356569048344, 0.27952890304961314, 0.016614324287661124]
[1.0, 5.0]; [205346.0, 757729181.5],[0.7055056687310161, 0.4212836925441119, 0.0, 0.03513440770313302, 0.16049382716049382, 0.229580735270235, 0.6711064776978577, 0.3892708170863877, 0.00490550332237126]
[2.0, 6.0]; [0.0, 757523835.5],[0.5202406770201851, 0.5450530823632227, 0.0, 0.021109536978346468, 0.23121387283236994, 0.24412955515275264, 0.6417605973963475, 0.4561492155067416, 0.017838977364666404]
[2.0, 6.0]; [102673.0, 757626508.5],[0.5227727823253481, 0.47314517406064316, 0.0, 0.021667095672812206, 0.2138728323699422, 0.24549053704733095, 0.6476298057096099, 0.4249618780463048, 0.022277805933479885]
[2.0, 6.0]; [205346.0, 757729181.5],[0.5237850003281962, 0.46916493081169564, 0.0, 0.02189818827907086, 0.20930232558139536, 0.24765569332185217, 0.6330409962581633, 0.43745996757349137, 0.02479397953768092]
[2.0, 6.0]; [308019.0, 757831854.5],[0.5238810132097593, 0.4642059195868342, 0.0, 0.022102759091707804, 0.19767441860465115, 0.2548803685971975, 0.6039971613321694, 0.43131961591220846, 0.026154624276411152]
[2.0, 6.0]; [410692.0, 757934527.5],[0.5252974055375285, 0.5033568845007901, 0.0, 0.022244353062333723, 0.21052631578947367, 0.24537897888799268, 0.636146933533364, 0.4344051337014044, 0.0266109324884986]
[2.0, 6.0]; [513365.0, 758037200.5],[0.527131041262629, 0.46851413350825966, 0.0, 0.022704320617812947, 0.19047619047619047, 0.24615307402995065, 0.6454561550293741, 0.39681986879817455, 0.02786448862021515]
[2.0, 6.0]; [616038.0, 758139873.5],[0.5277948329483515, 0.46487501369858375, 0.0, 0.022859778642446607, 0.23214285714285715, 0.24728743707803946, 0.6464113008969559, 0.39681986879817455, 0.029380407553394952]
